2015-08-19 14:57:25,584 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.834156216507049' offer='12.846990372723555' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-42
2015-08-19 14:57:27,659 | INFO  | PortfolioPublishServlet: Sending: <price stock='MSFT' bid='40.09239832057941' offer='40.13249071889999' movement='down'/> on destination: topic://STOCKS.MSFT | /demo | qtp257718694-42
2015-08-19 14:57:29,730 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.735711925128767' offer='12.748447637053895' movement='down'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-42
2015-08-19 14:57:31,778 | INFO  | PortfolioPublishServlet: Sending: <price stock='MSFT' bid='39.91819736358877' offer='39.95811556095235' movement='down'/> on destination: topic://STOCKS.MSFT | /demo | qtp257718694-42
2015-08-19 14:57:33,837 | INFO  | PortfolioPublishServlet: Sending: <price stock='MSFT' bid='39.72807639967725' offer='39.767804476076925' movement='down'/> on destination: topic://STOCKS.MSFT | /demo | qtp257718694-42
2015-08-19 14:57:35,881 | INFO  | PortfolioPublishServlet: Sending: <price stock='MSFT' bid='39.88251556281013' offer='39.922398078372936' movement='up'/> on destination: topic://STOCKS.MSFT | /demo | qtp257718694-42
2015-08-19 14:57:37,933 | INFO  | PortfolioPublishServlet: Sending: <price stock='SUNW' bid='9.22351728894443' offer='9.232740806233373' movement='down'/> on destination: topic://STOCKS.SUNW | /demo | qtp257718694-42
2015-08-19 14:57:39,994 | INFO  | PortfolioPublishServlet: Sending: <price stock='SUNW' bid='9.3130634468056' offer='9.322376510252404' movement='up'/> on destination: topic://STOCKS.SUNW | /demo | qtp257718694-45
2015-08-19 14:57:42,046 | INFO  | PortfolioPublishServlet: Sending: <price stock='IBMW' bid='33.44466922352156' offer='33.47811389274508' movement='down'/> on destination: topic://STOCKS.IBMW | /demo | qtp257718694-45
2015-08-19 14:57:44,095 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.826553381639233' offer='12.83937993502087' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-45
